,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,exp_length,quantile
3710,3ca3a692-32e0-4471-b581-85facb9503f2,Tuberous sclerosis is inherited as?,Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,0,single,"Robbins basic pathology 9th edition page no 847, heading=Familial tumor syndromes Tuberous Sclerosis is an autosomal dominant syndrome characterized by the devolopment of hamaomas and benign neoplasms involving the brain and other tissues.",Pathology,General pathology,239,0
2205,793efbfb-aa51-43ca-ae68-80d4849edbc1,Alpha fetoprotein is not raised in which testicular tumor,Choriocarcinoma,Tearatacarcinoma,Yolk sac tumor,Embryonal cell carcinoma,0,single,"AFP is a marker of hepatocellular cancer and non seminatous germ cell tumors of testes Non seminomatous germ cell tumors may be embryonal carcinoma yolk sac tumor, choriocarcinoma or teratoma Refer Robbins page no 9/e 978",Pathology,Urinary tract,221,0
1611,7c259af0-5fae-4ad1-832a-77fb386177f6,Dyskeratosis means,"Abnormal,premature keratinization within cells  below  the stratum granulosum",Discontinuity  of the  skin showing incomplete loss of epidermis,"Thickening   of stratum corneum, often associated with a  qualitative  abnormality of keratin",Keratinization with retained nuclei in the stratum corneum,0,single,"Abnormal,premature keratinization within cells  below the stratum granulosum-Dyskeratosis.
Discontinuity of the  skin showing incomplete loss of epidermis-Erosion.
Thickening of stratum corneum, often associated with a qualitative abnormality of keratin-Hyperkeratosis.
Keratinization with retained nuclei in the stratum corneum.-Parakeratosis.",Pathology,,344,0
868,24b110cc-b516-4f1f-820c-5b1ed9cf335b,Most commonly associated human papilloma virus with Cancer Cervix is?,HPV 16,HPV 24,HPV 32,HPV 36,0,single,"ANSWER: (A) HPV 16REF: Robbins 7th edition page 324Repeat in December 2011, See APPENDLX-31 for ""HUMAN PAPILLOMA VIRUS""""HPV 16 and 18 and less commonly HPV 31, 33, 35, 51 are found in approximately 85 % of invasive squamous cell cervical cancer""",Pathology,Female Genital Tract,245,0
3816,8407a7b9-f4b7-4584-9126-3a29d84d9540,The risk of sarcoma developing in a fibroid uterus is approximately,<1%,<10%,>30%,>50%,0,single,"Though uterine sarcoma is rare--with the annual incidence of leiomyosarcomas at approximately 0.4 to 0.64 per 100,000 women--it has been estimated that approximately 1:8300 to 1:352 women undergoinguterine surgery for presumedfibroids have unsuspected sarcoma.",Pathology,miscellaneous,260,0
2927,0e72ea74-afd8-4386-a2e3-533aa5868b68,Which of the following causes 'no-reflow' phenomenon in acute myocardial infarction contributing to reperfusion injury?,Myocyte hypercontracture:,Leucocyte aggregation,Free radicals,Complement activation,1,single,"Factors that contribute to reperfusion injury in myocardial infarction include the following: Mitochondrial dysfunction Myocyte hypercontracture Free radicals Platelet and complement activation Leukocyte aggregation - may occlude the microvasculature and contribute to the ""no-reflow"" phenomenon.",Pathology,Myocardial Infarction,296,0
5063,fdfe47b2-a692-401f-87fd-c6586e7bb930,Which type of anemia is seen in patients of rheumatoid ahritis?,Normocytic and hypochromic anemia,Normocytic and normochromic anemia,Macrocytic anemia,Sideroblastic anemia,1,single,Rheumatoid ahritis is a chronic inflammatory condition of joints. Anemia of chronic inflammation is found in RA. Majority have normocytic normochromic anemia. A small subset may have microcytic hypochromic anemia.,Pathology,FMGE 2017,213,0
1690,fed8eee6-b226-41ec-98db-f809a01ef2ec,Calcitonin is a marker of -,Prostate cancer,Medullary carcinoma of thyroid,Pheochromocytoma,Pancreatic cancer,1,single,Harshmohan textbook of pathology 7th edition. medulla carcinoma is a less frequent type derived from para follicular or C cells present in the thyroid. Like normal C cells tumor cells of medullary carcinoma secrete calcitonin the hypo calcimic hormone. So calcitonin is an impoant tumor marker of medullary carcinoma of thyroid. .,Pathology,General pathology,330,0
4420,60cf91ac-e1bd-4d11-9baf-459eb276d152,Caplan's syndrome is seen in:,COPD,Pneumoconiosis,Pulmonary edema,Bronchial asthma,1,single,"Caplan's syndrome is a combination of rheumatoid ahritis (RA)and pneumoconiosis that manifests as intrapulmonary nodules, which appear homogenous and well-defined on chest X-ray. -When a person with rheumatoid ahritis is exposed to such offensive materials, they are at an increased risk of developing pneumoconiosis.",Pathology,Sarcoidosis,317,0
398,286c7f83-dc51-4a9d-b407-b36c60de36e7,Metastasis in neuroblastoma goes to -,Liver,Lung,Bone,Bone marrow,1,single,"Lung metastasis at initial diagnosis of neuroblastoma is associated with MYCN amplification and elevated LDH levels. Although lung metastasis at diagnosis was not independently predictive of outcome in this analysis, it remains a useful prognostic marker of an unorable outcome.",Pathology,"Pediatrics, environment and nutrition",278,0
1961,8a0fb9c8-8b00-4150-aeb0-423bea9394a8,Mutations in merlin protein is associated with:,Astrocytoma,Meningioma,Medulloblastoma,Oligodendroglioma,1,single,"The most common cytogenetic abnormality is loss of chromosome 22, especially the long arm (22q). The deletions include the region of 22q12 that harbors the NF2 gene, which encodes the protein merlin. Meningiomas are a common lesion in the setting of NF2. Ref: Robbins 8th edition Chapter 28.",Pathology,,291,0
1558,0511ff76-e343-434c-9343-0216a48b3ca1,Rokitanski protruberences are seen in -,Mucinous carcinoma,Teratoma,Epidermal cystoids adenoma,Papillary carcinoma,1,single,"Rokitansky nodules/protuberance: These are one or more foci of rounded nodular structure/s, covered with hair protruding into the lumen of the cyst. These are also known as the mammillary body (tubercle) and dermoid nipple. It shows the greatest variety of tissue types of all three germ cell layers and teeth tend to be located at this site.",Pathology,miscellaneous,342,0
3540,e115161b-b7e0-46ab-ae92-10bdff5192d3,Schizophrenia occurring in persons with IQ less than 70 is,Simple,Proff,Catatonia,Hebephrenic,1,single,Schizophrenia in mental retardation is known as Proff schizophrenia Other named Schizophrenia is 1. Van-Gogh schizophrenia - schizophrenia with self-mutilating behaviours. 2. Nuclear schizophrenia: It is when both hebephrenic and catatonic schizophrenia occur.,Pathology,All India exam,260,0
3331,144193e7-c6a9-4e5a-a796-30ee78ec10b1,Mild hemolytic anaemia is associated with vitamin deficiency-,B6,E,A,C,1,single,"Vitamin E acts as antioxidants that serve to scavenge free radicals formed in redox reactions throughout the body.
Vitamin-E deficient erythrocytes are more susceptible to oxidative stress and have a shorter half-life in the circulating blood.",Pathology,,243,0
3218,c38125c8-025d-46c5-85b0-c77957f7e72c,Congenital hepatic fibrosis is predominantly associated with which cystic disease of kidney?,Autosomal dominant polycystic kidney disease (ADPKD),Autosomal recessive polycystic kidney disease (ARPKD),Medullary sponge kidney,Nephronophthisis,1,single,"In Autosomal recessive polycystic kidney disease (ARPKD), patients who survive infancy may develop a peculiar hepatic injury characterized by:- Bland peripoal fibrosis Proliferation of well differentiated biliary ductules, now termed as congenital hepatic fibrosis.",Pathology,Polycystic Kidney Disease,265,0
2804,8f073973-28e3-4bb6-a33b-e428757f52c3,Pyogenic infection and brain infarction are associated with,Coagulative necrosis,Liquefaction necrosis,Caseous necrosis,Fat necrosis,1,single,Liquefaction necrosis is commonly due to ischemic injury or bacterial and fungal infections but hydrolytic enzymes in the tissues degradation have a dominant role in causing semi-fluid material. Common examples are infracted brain and abscess cavity.Harshmohan textbook of pathology 7th edition.,Pathology,General pathology,295,0
4945,48cb2618-4073-40ad-92de-e7470c9ab055,A 45-year-old woman presents with abdominal pain and vaginal bleeding. A hysterectomy is performed and shows a benign tumor of the uterus derived from a smooth muscle cell. What is the appropriate diagnosis?,Angiomyolipoma,Leiomyoma,Leiomyosarcoma,Myxoma,1,single,"Leiomyoma is the most common benign tumor of the uterus, usually arising in women of reproductive age. It originates from smooth muscle cells of the myometrium. None of the other choices are benign tumors of smooth muscle.Diagnosis: Leiomyoma of uterus",Pathology,Neoplasia,252,0
4923,e71b290b-43ae-48f1-8ef9-1ee0ecde6a6c,Tigered effect in myocardium is due to:,Malignant change,Fat deposition,Seen in rheumatic fever,Associated with myocarditis,1,single,"In a pattern of lipid deposition seen with prolonged moderate hypoxia, such as that produced by profound anemia, there is intracellular deposits of fat, which create grossly apparent bands of yellowed myocardium alternating with bands of darker, red-brown, uninvolved myocardium (tigered effect).",Pathology,Myocardial Infarction,296,0
4836,6fb650c8-c632-4076-80e8-a9f343d8adb9,A major source of collagen in cirrhosis -,Kupffer cells,Ito cell (Hepatic stellate cell),Hepatocyte,Canalicular cell,1,single,"Perisinusoidal stellate cells (Ito cells) play a role in the storage and metabolism of vitamin A and are transformed into collegen producing myofibroblasts when there is inflamation of the liver.
These cells are the major source of collagen in cirrhosis",Pathology,,253,0
5153,29faa73f-8fba-42b5-be2d-d4c7d29f4d42,Russell’s body is found in:,Metastatic calcification,Plasma cells,RBC,Mast cells,1,single,"Russell bodies are large homogenous eosinophilic inclusions formed by hugely distended endoplasmic reticulum of plasma cell.
Their formation is triggered by synthesis of excessive amount of normal secretory proteins in plasma cells.",Pathology,,232,0
2484,5d95668f-8ac2-4803-bd8c-2620a8b2b92d,Non seminal germ cell tumors of testis secrete -,CEA,Acid phosphatase,Alfa feto protein,Cytokeratin,2,single,"Answer- C. Alfa feto proteinNon-seminoma germ cell tumors (NSGCT) are spermatocytic seminoma, embryonal carcinoma, Yolk sac tumor (also called endodermal sinus tumor or infantile embryonal carcinoma), teratoma, and choriocarcinoma.",Pathology,,231,0
889,af7d0da9-6014-4059-8466-439ed0dd968f,Phagocytosis is the function of-,Astrocytes,Oligodendrocytes,Microglia,Schawan cells,2,single,"Ans is 'c' i.e., Microglia o Micro-organisms entering the tissue fluid or blood stream are very rapidly engulfed by the cells called phagocytes,o Phagocytic cells are of two types :o Basophils also belong to polymorphonuclear microphages but they are not phagocytes.o Eosinophils have only a limited degree of phagocytic activity.",Pathology,Acute Inflammation - Overview and Morphologic Patterns,330,0
47,e8e48ba0-34e1-4e1d-b38c-7d4ecbcbf1c0,Which drug is used for topical application in respiratory papillomatosis?,Acyclovir,Ranitidine,Cidofovir,Ribavirin,2,single,"Cidofovir Gold standard treatment for respiratory papillomatosis is Laser MLS/ Powered MLS (using microdebrider). Cidofovir is a recent drug which is used intralesionally or topically. Its active metabolite, cidofovir diphosphate, inhibits viral replication by selectively inhibiting viral DNA polymerase.",Pathology,All India exam,305,0
2354,99cf89ff-5b7d-488a-aeb4-46ac34d9157a,A baby's blood group was determined as 0 Rh negative. Select the blood group the baby's mother or father will not have -,"A, Rh Positive","B, Rh Positive","AB, Rh Negative","O,Rh positive",2,single,". Ans. is 'c' i.e., AB, Rh negativeBlood group inheritanceFather ABABMother O00, A0,BA,BA0, A0,A0, A, 13, ABA, B, ABB0, B0, A, B, AB0,BA, B, ABABA, BA, B, ABA, B, ABA, B, ABo So, if a child has '0' blood group, there is no possibility of having AB blood group in any of the parents",Pathology,,281,0
3310,1dbf2416-4ba5-4526-81fd-9d0aa737ba2c,A patient with which of the follwing disease is predisposed to develop osteosarcoma -a)  Osteomalaciab)  Osteomyelitisc)  Paget's disease of boned)  Osteopetrosis,a,c,bc,ad,2,single,"Osteosarcoma (osteogenic sarcoma - OGS) 

Osteosarcoma is primary malignant bone tumor of bone, derived from primitive bone forming mesenchyma and characterized by osteoid formation.
It is of two types


Primary
Secondary


Paget disease
Radiation
Fibrous dysplasia
Enchondromatosis
Multiple osteochondroma
Bone infarction
Chronic osteomyelitis",Pathology,,344,0
5938,fd2aeffa-68e4-4e15-89ad-128e944f347c,Chance of affected child to Autosomal recessive carrier parents is?,10%,15%,25%,50%,2,single,"In autosomal recessive condition the risk of having an affected child when both parents are carriers is 25%, and the chance of having a child who is a carrier is 50%.
GENETIC RISK ASSESSMENT IN AUTOSOMAL RECESSIVE INHERITANCE:
The genetic risk associated with Autosomal recessive disorder is as follows Affected mother, normal father",Pathology,,333,0
4790,ee8d1493-5650-4fe2-98d4-bc66da6a43c0,Shock lung is seen in?,Bronchiectasis,Lung carcinoma,ARDS,COPD,2,single,"Ans is 'c' i.e., ARDS o ARDS is also known as 'adult' respiratory distress syndrome, shock lung, diffuse alveolar damage or acute lung injury. It is characterized by diffuse damage to alveolar capillary walls and alveolar cells (diffuse alveolar necrosis).o Sepsis is the most common cause of ARDS.",Pathology,"Chronic Interstitial (Restrictive, Infiltrative) Lung Diseases",298,0
2625,2b06cab5-a0cd-490f-bcd5-b7413543be61,Intake of which of these cause vascular lesions in liver -,Halothanes,INH,Steroids,CPZ,2,single,"Ans. is 'c' i.e., SteroidsHere is a list of drug induced vascular disorder in the liver 1. Peliosis hepatis --> o Anabolic steroids(Sinusoidal dilatation) o Oral contraceptivesDanazol2. Hepatic or poal vein thrombus --> o EstrogensOral contraceptivesCytotoxic drugs3. Veno occlusive disease --> o Cytotoxic drugso Pyrozilidine alkaloids",Pathology,,336,0
2271,6ca42672-67b1-4bd5-8c30-f9bb27345791,Schiller - Duval bodies are seen in-,Teratoma,Seminoma,Yolk sac tumour,Chorio - carcinoma,2,single,"Yolk sac tumor (endodermal sinus tumor or infantile embryonal carcinoma) → Schiller - Duval bodies.
Leydig (interstitial) cell tumor → Reinke crystalloids.
	Note : - Rienke crystals are also seen in the hilus cell tumor of ovary.",Pathology,,229,0
1689,aaf6b449-bba2-43e4-9a6a-6e66c15a46bb,Which of the following is not a major criteria for diagnosis of multiple myeloma ?,Lytic bone lesions,Plasmacytoma on tissue biopsy,Bone marrow plasmacytosis > 30%,"`M' spike > 3g% for 1g G, > 2g% for IgA",2,single,"In the NCCN guidelines, active multiple myeloma is no longer diagnosed using the CRAB criteria (hyperCalcemia, Renal failure, Anemia, Bone lesions) for end-organ damage. The current diagnostic criteria are as follows : Bone marrow clonal plasma cells >=10% or bony or extramedullary plasmacytoma (confirmed by biopsy)",Pathology,Haematology,317,0
2774,b15c12d2-6213-4768-a20b-1655c9a6cced,Which of the following is not a minor diagnositic criteria for multiple myeloma?,Lytic bone lesions,Plasmacytosis greater than 20%,Plasmacytoma on biopsy,"Monoclonal globuline spike on serum electrophoresis of> 2.5 g/dl for IgG, > 1.5 g/dl for IgA",2,single,"In the NCCN guidelines, active multiple myeloma is no longer diagnosed using the CRAB criteria (hyperCalcemia, Renal failure, Anemia, Bone lesions) for end-organ damage. The current diagnostic criteria are as follows : Bone marrow clonal plasma cells >=10% or bony or extramedullary plasmacytoma (confirmed by biopsy)",Pathology,Haematology,317,0
3246,e25de443-1db6-4bc6-a9aa-32a64c457d55,CD 34 is a tumor marker used for -,Ewings sarcoma,Myofibrosarcoma,Alveolar soft part sarcoma,Inflammatory myofibroblastic tumor,2,single,"CD34 is found in alveolar soft part sarcoma, pre B-ALL, AML, dermatofibrosarcoma protuberans, GIST, giant cell fibroblastoma, granulocytic sarcoma, Kaposi's sarcoma, liposarcoma, malignant fibrous histiocytoma, MPNST, meningeal hemangiopericytomas, meningiomas, neurofibromas, schwannomas, and papillary thyroid carcinoma.",Pathology,,322,0
5566,8a947170-b67f-41ab-90c3-0fd78c887c53,Ferruginous bodies are seen in -,Silicosis,Bysinosis,Asbestosis,Baggassosis,2,single,"Ref:Textbook of pathology (Harsh mohan) 6th edition, page no.492 Histologically there is presence of characteristic asbestos bodies in the involved areas . These are asbestos fibres coated with glycoprotein and haemosiderin and appear beaded or dumbbell-shaped. The coating stains positively for Prussian blue reaction.",Pathology,Respiratory system,319,0
5679,d5bb86f8-5d5d-411f-ba0a-b288c6a7ab7a,Generalized body edema is associated with deficiency of?,Vitamin B12,Sodium,Albumin,EFAs,2,single,"Ans. is 'c' i.e., Albumin * When total plasma protein is below 5 gm/dl (normal 6-8 gm/dl) or albumin is below 2.5 gm/dl (normal 3.5-5 gm/dl) edema takes place.* Severe generalized edema is called anasarca.",Pathology,Hemodynamics,205,0
3968,2ed5cfc9-08ec-4d10-88fd-db33faf9235f,Which of the following mutation is seen in Cowden syndrome?,STK 11 mutation,SMAD 4 mutation,PTEN mutation,PTCH mutation,2,single,"Mutation in PTEN gene: Breast tumors Endometrial tumors Skin appendage tumors Thyroid tumors Cowden syndrome: Dysplastic gangliogliocytoma of the cerebellum (Lhermitte Duclos disease), caused by mutations in PTEN resulting in PI3K/AKT signaling pathway PTEN",Pathology,Tumors,257,0
4079,715f9424-3fe8-4591-89b5-2b6a1c7f1559,Mycosis fungoides is:,Fungal infections of skin,Leukemia,Exfoliative erythroderma,Cutaneous lymphoma,3,single,Mycosis fungoides is a T cell lymphoma affecting skin which can evolve into generalized lymphoma. Histological hallmark: Sezary Lutzner cells which are helper T cells forming band like aggregates in superficial dermis and have cerebriform contourQ. May invade epidermis as single cells and small clusters called as Pautrier microabscessesQ,Pathology,Non Hodgkin Iymphoma,339,0
2879,fc6a7940-35aa-4c0c-9938-46bcd0fc8578,Alzheimer's disease associated chromosome is,2,6,12,19,3,single,"In familial Alzheimer disease and down syndrome. The gene encoding APP on chromosome 21 is involved.
The genitic locus on chromosome 19 that encodes apolipoprotein E (ADOE) has a strong inthences on the risk of developing AD.",Pathology,,225,0
2456,e192b61d-e4bd-4847-a238-9e11bdb05916,The following karyotype in female is seen in which of the following syndromes?,Bloom syndrome,Fragile X syndrome,Angelman syndrome,Cri du chat syndrome,3,single,"Ans. (d) Cri du chat syndrome(Ref: Robbins 9th/pg 163)This is karyotype showing an arrow on deleted part of short arm of chromosome 5, which is suggestive of Cri du Chat syndrome: Chromosome 5p deletion Q Features: Characteristic cry, developmental delay, behavioral problems.",Pathology,Genetics,276,0
181,0ad73f37-daf5-4eb9-877e-ba9d75a05e5a,"With regard to the malignant behavior of leiomyosarcoma, the most impoant criterion is",Blood vessel penetration by tumor cells,Tumor cells in lymphatic channels,Lymphocyte infiltration,The number of mitoses per high power field,3,single,"Option 4 is correct=the number of mitosis per high power field Leiomyosarcomas typically take the form of soft, hemorrhagic, necrotic masses. The diagnostic features of ove leiomyosarcoma include tumor necrosis, cytologic atypia, and mitotic activity. Robbins basic pathology 9th edition page no 694,heading=leiomyosarcomas..box=Morphology ref img",Pathology,Breast,347,0
1288,42e9a245-8a62-42b4-9bc1-4c3bf7f5b64b,The kebab treatment is used for treatment of which of the following conditions,Paget's disease,Osteoahritis,Myositis ossificans,Osteogenesis imperfecta,3,single,"Osteogenesis imperfecta is characterized by multiple fractures and multiple deformities and one of the surgical treatment devised is the kebab treatment which consists of multiple osteotomies and threading of the multiple fragments over an intramedullary implant, thus a fanciful resemblance to the delicacy.",Pathology,All India exam,308,0
1077,4e947644-e29d-4061-b271-100fed5d2840,Burning Mouth Syndrome describes pain associated with,Oral lichen planus,Oral submucous fibrosis,Aphthous stomatitis,No detectable oral disease,3,single,"Burning Mouth Syndrome (BMS) is burning or stinging of the mucosa, tips, and/or tongue in the absence of visible mucosal lesions. Van der Waal defined the term Burning mouth syndrome to refer only to idiopathic cases. There is strong predilection with most female patients being menopausal and the age of onset being approximately 50 years.",Pathology,,340,0
2986,01faedcb-3792-4d4e-874c-579619f7fbba,Major contribution to cachexia with advanced cancer?,Clathrin,Histamine,Interferon,Tumor-necrosis-factor (TNT),3,single,"Ans. is 'd' i.e., Turnor-necrosis factor (TNT) Patients with cancer commonly suffer progressive loss of body fat which is accompnied by profound weakness anorexia, and anemia. This wasting syndrome is referred to as cachexia. o TNF produced by macrophages or some tumor cells is the most impoant mediator of cachexia.",Pathology,,317,0
5060,00178a32-803b-4b96-939c-a60a4b814fa7,Which of the following is a ourable prognostic factor in a case of neuroblastoma?,Diploidy,N-myc amplification,Chromosome / p depletion,Trk A expression,3,single,"High level expression of Trk A gene is associated with a ourable outcome in neuroblastoma. Favorable prognostic factors in neuroblastoma are: Age less than 1 year, Stage I and II, hyperdiploid or near diploid tumors. Ref: Robbins Pathologic Basis of Disease, 6th Edition, Page 485, 487",Pathology,,285,0
4422,a0427636-1647-4cb4-a998-857d385113fb,First change seen in acute inflammation is: September 2009,Increased permeability,Vasodilation,Neutrophil migration,Vasoconstriction,3,single,Ans. D: Vasoconstriction Cardinal signs: Rubor (redness) due to dilatation of aerioles Calor (heat) Dolor (pain) due to pressure on nerve endings by edema fluid and chemical mediator bradykinine Tumor (swelling) due to edema. Functio laesa (loss of function) due to inhibition of movement by pain and tissue necrosis.,Pathology,,317,0
3855,0b77523b-b398-43af-b4d7-5945634c1b57,Which of the following is not associated with pathological apoptosis?,DNA damage,ER stress,Transplant rejection,Involution of hormone dependent tissue upon hormone withdrawal,3,single,"Pathological Apoptosis:

DNA damage.
Accumulation of misfolded proteins in ER leads to a condition called ER stress.
Cell death in certain infections (viral mostly) and transplant rejection and tumours.
Pathological atrophy.",Pathology,,224,0
563,d91d6b83-6d43-4242-b64c-b876933c2bc6,In Huntington chorea the causative mutation in the protein huntingtin is a:,Point mutation,Gene deletion,Frameshift mutation,Trinucleotide repeat expansion,3,single,"Huntington disease (HD) Mutation in the HTT gene which codes for protein called huntingtin which is impoant to neurons. The HTT mutation involves a DNA segment known as a CAG trinucleotide repeat. Made up of a series of three DNA building blocks (cytosine, adenine, and guanine) that appear multiple times in a row leading to the disease.",Pathology,Genetics,338,0
208,4766b4b5-d7f4-4e48-b7a1-a0f3e2e20a22,Type I hypersensitivity reaction is mediated by:,IgG,IgM,IgD,IgE,3,single,"In immediate hypersensitivity (type I hypersensitivity)- the injury is caused by TH2 cells, IgE antibodies, and mast cells and other leukocytes. Mast cells release mediators that act on vessels and smooth muscle and pro-inflammatory cytokines that recruit inflammatory cells.",Pathology,Hypersensitivity,275,0
2293,67a136a6-dd88-4212-87c6-e4328c4690d7,CD marker of Angiosarcoma is?,CD 10,CD 19,CD 25,CD 31,3,single,Robbins basic pathology 9th edition page no 362 Table:morphology The endothelial origin can be demonstrated in the poorly diffrentiated tumors by staining for the endothelial cell markers CD31 and von Wilebrand factor,Pathology,General pathology,217,0
4696,fd405d91-b31e-4aaa-9b07-a9524c1ab8f6,"Vasoactive amine, involved in inflammation is -",dopamine,adrenaline,Angiotensin,Histamine,3,single,"Two molecules, histamine and serotonin are the vasoactive amines produced by mast cells, which mediate acute inflammation. Dopamine is a neurotransmitter Adrenaline is is adrenal medulla hormone Angiotensin Is a peptide hormone causing vasoconstriction ..but doesn't paicipate in inflammation Basic Pathology, Robbins. Page no.:46",Pathology,General pathology,330,0
5311,a3fec83c-55af-4821-8d03-5ed6368a6bd2,Macropolycyte in peripheral smear is a feature of-,Hereditary sherocytosis,Iron deficiency anaemia,Sickle cell anaemia,Megaloblastic anaemia,3,single,"Ans. is 'd' i.e., Megaloblastic anemia Macropolymorphonuclear (Macropolycytes) - Neutrophils in megaloblastic anemias are larger than normal (macropolymorphonuclear) and hypersegmented that is they have 5-6 more nuclear lobes.",Pathology,,226,0
657,7a15a410-a77d-4d10-8f04-092de4e2b694,MOST common mutation seen in heriditary hemochromatosis is:,C282Y,H63D,TFR2,SLC11A3,0,single,"The most common mutation in hereditary hemochromatos is a homozygous G to A mutation resulting in a cysteine to tyrosine substitution at position 282 (C282Y). Another relatively common mutation (H63D) results in a substitution of histidine to aspaic acid at codon 63. Mutations like transferrin receptor 2 TFR2 mutation and ferropoin 1 gene, SLC11A3 mutation are rare. Ref: Harrisons principles of internal medicine, 18th edition, Page: 3162",Pathology,,441,1
